,,,,,,,Casting,,,,,,,,,,,,,,,Ability,,,,,,Saving Throws,,,,,,,,
Manip Bakshi,Explorer,10,43,10,+1,+6,,,,,,,,,,,,,,,,21,13,17,10,12,8,+11,+1,+9,0,+1,-1,"Opportunity Attack,Protection",,
Manip Bakshi,Tactician,10,80,10,+1,+4,,,,,,,,,,,,,,,,21,13,17,10,12,8,+9,+1,+7,0,+1,-1,"Opportunity Attack,Protection",,
Tracker Bal,Balanced,1,7,13,+2,+2,,,,,,,,,,,,,,,,8,14,10,10,8,8,-1,+2,0,0,-1,-1,"Darkvision,Opportunity Attack",,
Tracker Bal,Explorer,1,4,13,+2,+4,,,,,,,,,,,,,,,,8,14,10,10,8,8,-1,+2,0,0,-1,-1,"Darkvision,Opportunity Attack",,
Tracker Bal,Tactician,1,9,13,+2,+2,,,,,,,,,,,,,,,,8,14,10,10,8,8,-1,+2,0,0,-1,-1,"Darkvision,Fury of the Small,Opportunity Attack",,
Tracker Bal,Honour,1,11,13,+2,+2,,,,,,,,,,,,,,,,8,14,10,10,8,8,-1,+2,0,0,-1,-1,"Darkvision,Fury of the Small,Opportunity Attack",,
Gondian Bala Ofran,Balanced,8,67,13,+1,+3,,,,,,,,,,,,,,,,8,13,16,18,10,12,-1,+1,+3,+4,0,+1,"Darkvision,Gnome Cunning,Opportunity Attack,Shortened Stride",,
Gondian Bala Ofran,Explorer,8,46,13,+1,+5,,,,,,,,,,,,,,,,8,13,16,18,10,12,-1,+1,+3,+4,0,+1,"Darkvision,Gnome Cunning,Opportunity Attack,Shortened Stride",,
Gondian Bala Ofran,Tactician,8,87,13,+1,+3,,,,,,,,,,,,,,,,8,13,16,18,10,12,-1,+1,+3,+4,0,+1,"Darkvision,Gnome Cunning,Opportunity Attack,Shortened Stride",,
Balgor,Balanced,,6,10,0,,,,,,,,,,,,,Full Resistance,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Dwarven Resilience,Opportunity Attack",,
Balgor,Explorer,,4,10,0,,,,,,,,,,,,,Full Resistance,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Dwarven Resilience,Opportunity Attack",,
Balgor,Tactician,,7,10,0,,,,,,,,,,,,,Full Resistance,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Dwarven Resilience,Opportunity Attack",,
Bao'ek'nuk,Balanced,3,27,14,+2,+2,,,,,,,,,,,,,,,,17,14,13,8,11,9,+3,+2,+1,-1,0,-1,"Brute,Darkvision,Opportunity Attack,Tenacity",Slightly Drunk,
Bao'ek'nuk,Explorer,3,18,14,+2,+4,,,,,,,,,,,,,,,,17,14,13,8,11,9,+3,+2,+1,-1,0,-1,"Brute,Darkvision,Opportunity Attack,Tenacity",Slightly Drunk,
Bao'ek'nuk,Tactician,3,35,14,+2,+2,,,,,,,,,,,,,,,,17,14,13,8,11,9,+3,+2,+1,-1,0,-1,"Brute,Darkvision,Opportunity Attack,Savage Attacker,Tenacity",Slightly Drunk,
Barcus,Balanced,1,20,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Gnome Cunning,Stone Camouflage,Superior Darkvision",,
Barcus,Explorer,1,14,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Gnome Cunning,Stone Camouflage,Superior Darkvision",,
Barcus,Tactician,1,26,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Gnome Cunning,Opportunity Attack,Shortened Stride,Stone Camouflage,Superior Darkvision",,
Voiceless Penitent Bareki,Balanced,10,88,16,0,+4,,,,,,,,,,,,,,,,14,10,16,8,12,18,+2,0,+3,-1,+5,+8,"Divine Health,Duelling,Extra Attack,Opportunity Attack",,
Voiceless Penitent Bareki,Explorer,10,61,16,0,+6,,,,,,,,,,,,,,,,14,10,16,8,12,18,+2,0,+3,-1,+7,+10,"Divine Health,Duelling,Extra Attack,Opportunity Attack",,
Voiceless Penitent Bareki,Tactician,10,114,16,0,+4,,,,,,,,,,,,,,,,14,10,16,8,12,18,+2,0,+3,-1,+5,+8,"Divine Health,Duelling,Extra Attack,Opportunity Attack",,
Sarth Baretha,Balanced,6,59,17,+2,+3,,,,,,,,,,,,,,,,18,14,15,11,12,16,+7,+2,+5,0,+1,+3,"Extra Attack,Githborn Psionic Weapon,Githyanki Parry,Opportunity Attack",Ready to Parry,
Sarth Baretha,Explorer,6,41,17,+2,+5,,,,,,,,,,,,,,,,18,14,15,11,12,16,+9,+2,+7,0,+1,+3,"Extra Attack,Githborn Psionic Weapon,Githyanki Parry,Opportunity Attack",Ready to Parry,
Sarth Baretha,Tactician,6,76,17,+2,+3,,,,,,,,,,,,,,,,18,14,15,11,12,16,+7,+2,+5,0,+1,+3,"Extra Attack,Githborn Psionic Weapon,Githyanki Parry,Great Weapon Fighting,Great Weapon Master: All In,Great Weapon Master: Bonus Attack,Opportunity Attack,Psionic Empowerment",Ready to Parry,
Barnz,Balanced,5,45,15,+5,+3,,,,,,,,,,,,,,,,11,20,13,15,12,16,0,+5,+1,+2,+1,+3,"Darkvision,Extra Attack,Opportunity Attack,Prey Upon the Weak","Aura of Murder,Sanctuary",
Barnz,Explorer,5,31,15,+5,+5,,,,,,,,,,,,,,,,11,20,13,15,12,16,0,+5,+1,+2,+1,+3,"Darkvision,Extra Attack,Opportunity Attack,Prey Upon the Weak","Aura of Murder,Sanctuary",
Barnz,Tactician,5,58,15,+5,+3,,,,,,,,,,,,,,,,11,20,13,15,12,16,0,+5,+1,+2,+1,+3,"Darkvision,Evasion,Extra Attack,Opportunity Attack,Prey Upon the Weak","Aura of Murder,Sanctuary",
Barth,Balanced,2,18,14,+1,+2,,,,,,,,,,,,,,,,11,12,14,10,10,12,0,+1,+2,0,0,+1,"Darkvision,Fey Ancestry,Opportunity Attack",,
Barth,Explorer,2,12,14,+1,+4,,,,,,,,,,,,,,,,11,12,14,10,10,12,0,+1,+2,0,0,+1,"Darkvision,Fey Ancestry,Opportunity Attack",,
Barth,Tactician,2,23,14,+1,+2,,,,,,,,,,,,,,,,11,12,14,10,10,12,0,+1,+2,0,0,+1,"Darkvision,Fey Ancestry,Opportunity Attack",,
Barton,Balanced,2,15,13,+2,+2,,,,,,,,,,,,,,,,10,15,10,11,10,10,0,+4,0,+2,0,0,,,
Barton,Explorer,2,10,13,+2,+4,,,,,,,,,,,,,,,,10,15,10,11,10,10,0,+6,0,+4,0,0,,,
Barton,Tactician,2,19,13,+2,+2,,,,,,,,,,,,,,,,10,15,10,11,10,10,0,+4,0,+2,0,0,,,
Bastian d'Zinn,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Bastian d'Zinn,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Bastian d'Zinn,Tactician,1,7,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Battrick Degronce,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Gnome Cunning,Opportunity Attack,Shortened Stride",,
Battrick Degronce,Explorer,1,6,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Gnome Cunning,Opportunity Attack,Shortened Stride",,
Battrick Degronce,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Gnome Cunning,Opportunity Attack,Shortened Stride",,
Sharran Sentry Baxta,Balanced,4,48,16,+1,+2,,,,,,,,,,,,,,,,18,12,14,12,12,14,+6,+1,+4,+1,+1,+2,"Opportunity Attack,Shadow Ambush,Born into Darkness",,
Sharran Sentry Baxta,Explorer,4,33,16,+1,+2,,,,,,,,,,,,,,,,18,12,14,12,12,14,+6,+1,+4,+1,+1,+2,"Opportunity Attack,Shadow Ambush,Born into Darkness",,
Sharran Sentry Baxta,Tactician,4,62,16,+1,+2,,,,,,,,,,,,,,,,18,12,14,12,12,14,+6,+1,+4,+1,+1,+2,"Opportunity Attack,Shadow Ambush,Born into Darkness",,
Baz Hopbank,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Brave,Halfling Luck,Opportunity Attack",,
Baz Hopbank,Explorer,1,5,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Brave,Halfling Luck,Opportunity Attack",,
Baz Hopbank,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Brave,Halfling Luck,Opportunity Attack",,
Bearclaw,Balanced,8,71,15,+2,+3,,,,,,,,,,,,,,,,18,15,17,12,13,13,+7,+2,+6,+1,+1,+1,"Brutal Critical,Danger Sense,Darkvision,Extra Attack,Fast Movement,Feral Instinct,Gnome Cunning,Opportunity Attack,Relentless Rage,Shortened Stride,Unarmoured Defence (Barbarian)",,
Bearclaw,Explorer,8,49,15,+2,+5,,,,,,,,,,,,,,,,18,15,17,12,13,13,+9,+2,+8,+1,+1,+1,"Brutal Critical,Danger Sense,Darkvision,Extra Attack,Fast Movement,Feral Instinct,Gnome Cunning,Opportunity Attack,Relentless Rage,Shortened Stride,Unarmoured Defence (Barbarian)",,
Bearclaw,Tactician,8,92,15,+2,+3,,,,,,,,,,,,,,,,18,15,17,12,13,13,+7,+2,+6,+1,+1,+1,"Brutal Critical,Danger Sense,Darkvision,Extra Attack,Fast Movement,Feral Instinct,Gnome Cunning,Opportunity Attack,Relentless Rage,Shortened Stride,Unarmoured Defence (Barbarian)",,
Beatrice Provoss,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Beatrice Provoss,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Beatrice Provoss,Tactician,1,7,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Becca,Balanced,1,5,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Becca,Explorer,1,3,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Becca,Tactician,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Bedi,Balanced,5,52,13,0,+3,,,,,,,,,,,,,,,,20,10,16,10,10,10,+5,0,+3,+3,+3,0,"Danger Sense,Extra Attack,Fast Movement,Opportunity Attack,Unarmoured Defence (Barbarian),Wolf Heart",,
Bedi,Explorer,5,36,13,0,+5,,,,,,,,,,,,,,,,20,10,16,10,10,10,+5,0,+3,+5,+5,0,"Danger Sense,Extra Attack,Fast Movement,Opportunity Attack,Unarmoured Defence (Barbarian),Wolf Heart",,
Bedi,Tactician,5,67,13,0,+3,,,,,,,,,,,,,,,,20,10,16,10,10,10,+5,0,+3,+3,+3,0,"Danger Sense,Extra Attack,Fast Movement,Opportunity Attack,Unarmoured Defence (Barbarian),Wolf Heart",,
Adept Bel,Balanced,8,58,15,+1,+3,,,,,,,,,,,,,Full Resistance,,,13,12,16,10,18,10,+1,+1,+3,0,+7,+3,"Darkvision,Fey Ancestry,Opportunity Attack",Death Ward,
Adept Bel,Explorer,8,40,15,+1,+5,,,,,,,,,,,,,Full Resistance,,,13,12,16,10,18,10,+1,+1,+3,0,+9,+5,"Darkvision,Fey Ancestry,Opportunity Attack",Death Ward,
Adept Bel,Tactician,8,75,15,+1,+3,,,,,,,,,,,,,Full Resistance,,,13,12,16,10,18,10,+1,+1,+3,0,+7,+3,"Channel Divinity: War God's Blessing,Darkvision,Fey Ancestry,Opportunity Attack",Death Ward,
Beldron,Balanced,1,20,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Gnome Cunning,Opportunity Attack,Shortened Stride,Stone Camouflage,Superior Darkvision",,
Beldron,Explorer,1,14,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Gnome Cunning,Opportunity Attack,Shortened Stride,Stone Camouflage,Superior Darkvision",,
Beldron,Tactician,1,26,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Gnome Cunning,Opportunity Attack,Shortened Stride,Stone Camouflage,Superior Darkvision",,
Belford Willoughby,Balanced,1,5,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Belford Willoughby,Explorer,1,3,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Belford Willoughby,Tactician,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Fist Bella (Bloomridge Park),Balanced,8,62,16,+1,+3,,,,,,,,,,,,,,,,21,13,17,10,12,8,+8,+1,+7,0,+1,-1,"Opportunity Attack,Extra Attack,Great Weapon Fighting,Riposte,Phalanx Formation",,
Fist Bella (Bloomridge Park),Explorer,8,43,16,+1,+5,,,,,,,,,,,,,,,,21,13,17,10,12,8,+10,+1,+9,0,+1,-1,"Opportunity Attack,Extra Attack,Great Weapon Fighting,Riposte,Phalanx Formation",,
Fist Bella (Bloomridge Park),Tactician,8,80,16,+1,+3,,,,,,,,,,,,,,,,21,13,17,10,12,8,+8,+1,+7,0,+1,-1,"Opportunity Attack,Extra Attack,Great Weapon Fighting,Riposte,Phalanx Formation",,
Fist Bella (Wyrms Rock Fortress),Balanced,8,55,16,+5,+3,,,,,,,,,,,,Full Resistance,,,,12,21,14,8,14,10,+4,+8,+2,-1,+2,0,"Archery,Crossbow Expert: Point-Blank,Darkvision,Dwarven Resilience,Extra Attack,Opportunity Attack",,
Bellar,Balanced,4,28,14,+3,+2,,,,,,,,,,,,,,,,12,16,12,12,14,10,+3,+5,+1,+1,+2,0,Opportunity Attack,,
Bellar,Explorer,4,19,14,+3,+4,,,,,,,,,,,,,,,,12,16,12,12,14,10,+5,+7,+1,+1,+2,0,Opportunity Attack,,
Bellar,Tactician,4,36,14,+3,+2,,,,,,,,,,,,,,,,12,16,12,12,14,10,+3,+5,+1,+1,+2,0,Opportunity Attack,,
Bellora Truscott,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Bellora Truscott,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Bellora Truscott,Tactician,1,7,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Belron Strongstep,Balanced,,6,10,0,,,,,,,,,,,,,Full Resistance,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Belron Strongstep,Explorer,,4,10,0,,,,,,,,,,,,,Full Resistance,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Belron Strongstep,Tactician,,7,10,0,,,,,,,,,,,,,Full Resistance,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Acolyte Belub,Balanced,4,27,11,0,+2,,,,,,,,,,,,Full Resistance,,,,11,10,12,8,14,9,0,0,+1,-1,+4,+1,"Duergar Resilience,Dwarven Resilience,Opportunity Attack,Sunlight Sensitivity,Superior Darkvision",,
Acolyte Belub,Explorer,4,18,11,0,+4,,,,,,,,,,,,Full Resistance,,,,11,10,12,8,14,9,0,0,+1,-1,+6,+3,"Duergar Resilience,Dwarven Resilience,Opportunity Attack,Sunlight Sensitivity,Superior Darkvision",,
Acolyte Belub,Tactician,4,35,11,0,+2,,,,,,,,,,,,Full Resistance,,,,11,10,12,8,14,9,0,0,+1,-1,+4,+1,"Duergar Resilience,Dwarven Resilience,Opportunity Attack,Sunlight Sensitivity,Superior Darkvision",,
Ben Golewits,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,,,
Ben Golewits,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,,,
Ben Golewits,Tactician,1,7,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,,,
Zealot Bennel,Balanced,8,70,18,0,+3,,,,,,,,,,,,,,,,18,10,16,9,11,16,+7,+3,+6,+2,+6,+9,"Divine Health,Extra Attack,Great Weapon Fighting,Opportunity Attack",Aura of Protection,
Zealot Bennel,Explorer,8,49,18,0,+5,,,,,,,,,,,,,,,,18,10,16,9,11,16,+7,+3,+6,+2,+8,+11,"Divine Health,Extra Attack,Great Weapon Fighting,Opportunity Attack",Aura of Protection,
Zealot Bennel,Tactician,8,91,18,0,+3,,,,,,,,,,,,,,,,18,10,16,9,11,16,+7,+3,+6,+2,+6,+9,"Divine Health,Extra Attack,Great Weapon Fighting,Opportunity Attack",Aura of Protection,
Benryn,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",Pinned,
Benryn,Explorer,1,5,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",Pinned,
Benryn,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",Pinned,
Booyahg Benta,Balanced,2,13,11,+1,+2,,,,,,,,,,,,,,,,8,12,10,12,8,8,-1,+1,0,+1,-1,-1,"Darkvision,Opportunity Attack",,
Booyahg Benta,Explorer,2,9,11,+1,+4,,,,,,,,,,,,,,,,8,12,10,12,8,8,-1,+1,0,+1,-1,-1,Darkvision,,
Booyahg Benta,Tactician,2,16,11,+1,+2,,,,,,,,,,,,,,,,8,12,10,12,8,8,-1,+1,0,+1,-1,-1,"Darkvision,Fury of the Small,Opportunity Attack",,
Booyahg Benta,Honour,2,20,11,+1,+2,,,,,,,,,,,,,,,,8,12,10,12,8,8,-1,+1,0,+1,-1,-1,"Darkvision,Fury of the Small,Opportunity Attack",,
Beorn Wunterbrood,Balanced,8,62,18,+1,+3,,,,,,,,,,,,,,,,21,13,17,10,12,8,+8,+1,+6,0,+1,-1,"Extra Attack,Great Weapon Fighting,Opportunity Attack,Phalanx Formation,Riposte",,
Beorn Wunterbrood,Explorer,8,43,18,+1,+5,,,,,,,,,,,,,,,,21,13,17,10,12,8,+10,+1,+8,0,+1,-1,"Extra Attack,Great Weapon Fighting,Opportunity Attack,Phalanx Formation,Riposte",,
Beorn Wunterbrood,Tactician,8,65,18,+1,+3,,,,,,,,,,,,,,,,21,13,17,10,12,8,+8,+1,+6,0,+1,-1,"Extra Attack,Great Weapon Fighting,Opportunity Attack,Phalanx Formation,Riposte",,
Bering Gahorst,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Bering Gahorst,Explorer,1,5,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Bering Gahorst,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Worker Bernyr,Balanced,1,8,10,0,+2,,,,,,,,,,,,Full Resistance,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Dwarven Resilience,Opportunity Attack",,
Worker Bernyr,Explorer,1,5,10,0,+4,,,,,,,,,,,,Full Resistance,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Dwarven Resilience,Opportunity Attack",,
Worker Bernyr,Tactician,1,10,10,0,+2,,,,,,,,,,,,Full Resistance,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Dwarven Resilience,Opportunity Attack",,
Bertram,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Bertram,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Bertram,Tactician,1,7,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Beulla Sandfoot,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Brave,Halfling Luck,Opportunity Attack",,
Beulla Sandfoot,Explorer,1,6,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Brave,Halfling Luck,Opportunity Attack",,
Beulla Sandfoot,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Brave,Halfling Luck,Opportunity Attack",,
Bex,Balanced,1,8,10,0,+2,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance,Opportunity Attack",,
Bex,Explorer,1,5,10,0,+4,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance,Opportunity Attack",,
Bex,Tactician,1,10,10,0,+2,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance,Opportunity Attack",,
Warrior Bez,Balanced,2,15,13,+1,+2,,,,,,,,,,,,,,,,12,13,11,10,8,8,+1,+1,0,0,-1,-1,"Darkvision,Opportunity Attack",,
Warrior Bez,Explorer,2,10,13,+1,+4,,,,,,,,,,,,,,,,12,13,11,10,8,8,+1,+1,0,0,-1,-1,"Darkvision,Opportunity Attack",,
Warrior Bez,Tactician,2,19,15,+1,+2,,,,,,,,,,,,,,,,12,13,11,10,8,8,+1,+1,0,0,-1,-1,"Darkvision,Fury of the Small,Opportunity Attack",,
Warrior Bez,Honour,2,23,15,+1,+2,,,,,,,,,,,,,,,,12,13,11,10,8,8,+1,+1,0,0,-1,-1,"Darkvision,Fury of the Small,Opportunity Attack",,
Big Clive,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Big Clive,Explorer,1,3,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Big Clive,Tactician,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Big Liar Bronzon,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Big Liar Bronzon,Explorer,1,5,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Big Liar Bronzon,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Brother Bill,Balanced,3,33,11,+1,+2,,,,,,,,,,,,,,,,12,12,13,12,18,14,+1,+1,+1,+1,+6,+4,"Darkvision,Fey Ancestry,Opportunity Attack",,
Brother Bill,Explorer,3,23,11,+1,+4,,,,,,,,,,,,,,,,12,12,13,12,18,14,+1,+1,+1,+1,+8,+6,"Darkvision,Fey Ancestry,Opportunity Attack",,
Brother Bill,Tactician,3,42,11,+1,+2,,,,,,,,,,,,,,,,12,12,13,12,18,14,+1,+1,+1,+1,+6,+4,"Darkvision,Fey Ancestry,Opportunity Attack",,
Billigan Indigo,Balanced,,8,10,0,,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Billigan Indigo,Explorer,,5,10,0,,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Billigan Indigo,Tactician,,10,10,0,,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Billy,Balanced,1,5,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Billy,Explorer,1,3,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Billy,Tactician,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Billyum,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Billyum,Explorer,1,6,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Billyum,Tactician,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Brawler Birka,Balanced,1,9,13,+1,+2,,,,,,,,,,,,,,,,10,13,10,10,8,8,0,+1,0,0,-1,-1,"Darkvision,Opportunity Attack",,
Brawler Birka,Explorer,1,6,13,+1,+4,,,,,,,,,,,,,,,,10,13,10,10,8,8,0,+1,0,0,-1,-1,"Darkvision,Opportunity Attack",,
Brawler Birka,Tactician,1,11,13,+1,+2,,,,,,,,,,,,,,,,10,13,10,10,8,8,0,+1,0,0,-1,-1,"Darkvision,Fury of the Small,Opportunity Attack",,
Brawler Birka,Honour,1,14,13,+1,+2,,,,,,,,,,,,,,,,10,13,10,10,8,8,0,+1,0,0,-1,-1,"Darkvision,Fury of the Small,Opportunity Attack",,
Birta Grougg,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Birta Grougg,Explorer,1,5,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Birta Grougg,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Blades Bakstir,Balanced,3,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Brave,Halfling Luck,Opportunity Attack",,
Harper Blaird,Balanced,9,76,16,+4,+4,,,,,,,,,,,,,,,,12,18,15,10,14,10,+5,+8,+2,0,+2,0,"Darkvision,Extra Attack,Fey Ancestry,Land's Stride: Difficult Terrain,Opportunity Attack",,
Harper Blaird,Explorer,9,53,16,+4,+6,,,,,,,,,,,,,,,,12,18,15,10,14,10,+7,+10,+2,0,+2,0,"Darkvision,Extra Attack,Fey Ancestry,Land's Stride: Difficult Terrain,Opportunity Attack",,
Harper Blaird,Tactician,9,98,16,+4,+4,,,,,,,,,,,,,,,,12,18,15,10,14,10,+5,+8,+2,0,+2,0,"Darkvision,Extra Attack,Fey Ancestry,Land's Stride: Difficult Terrain,Opportunity Attack",,
Blarson Throaks,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Blarson Throaks,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Blarson Throaks,Tactician,1,7,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
