Name,Image,Location,Type,Rarity,Armour Type,Weight,Cost,AC,AC Mod,AC Bonus,No Crit,Resistances,Vulnerability,Skill,Skill Bonus,Skill Factor,ST Ability,ST Bonus,ST Factor,Spells,Level,Recharge,Features,Ability,Ability Bonus,Max Ability,AR Types,AR Bonus,AR Factor,Movement,Conditions,Act,Description,,Armour,Armour|Clothing,Headwear,Footwear,Cloak,Ring,Amulet,Shield,Handwear
Tidy Slender Boots,,,Footwear,Common,Non-Armour,0.6kg,15,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Tidy Slender Boots are a common pair of Boots.,,,,,,,,,,
Tough Shoes,,,Footwear,Common,Non-Armour,0.6kg,5,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Tough Shoes are a common pair of Shoes.,,,,,,,,,,
Tough-Soled Shoes,,,Footwear,Common,Non-Armour,0.6kg,5,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Tough-Soled Shoes are a common pair of Shoes.,,,,,,,,,,
Boots of Aid and Comfort,,,Footwear,Uncommon,Non-Armour,0.6kg,70,,,,FALSE,,,,,,,,,,,,The Comeback,,,,,,,,,1,Boots of Aid and Comfort are an uncommon pair of Boots that grant additional Temporary Hit Points to creatures healed by the wearer.,,,,,,,,,,
Boots of Stormy Clamour,,,Footwear,Uncommon,Non-Armour,0.6kg,70,,,,FALSE,,,,,,,,,,,,Arcane Echomalefaction,,,,,,,,,1,Boots of Stormy Clamour are an uncommon pair of Boots that inflicts the  Reverberation condition on a creature when afflicting it with another condition.,,,,,,,,,,
Boots of Very Fast Blinking,,,Footwear,Uncommon,Non-Armour,0.6kg,1,,,,FALSE,,,,,,,,,Disrobing Blinkstep,2,Per Turn,,,,,,,,,,3,"Boots of Very Fast Blinking are an uncommon pair of Boots that grant the wearer the ability to cast  Misty Step once per turn, but with the drawback that their clothes are left behind.",,,,,,,,,,
Cinder Shoes,,,Footwear,Uncommon,Non-Armour,0.6kg,70,,,,FALSE,,,,,,,,,,,,Cinders,,,,,,,,,1,Cinder Shoes is a pair of uncommon Boots that grants Heat whenever the wearer Burns an enemy.,,,,,,,,,,
Hoarfrost Boots,,,Footwear,Uncommon,Non-Armour,0.6kg,70,,,,FALSE,,,,,,,,,,,,Hoarfrost Balance,,,,,,,,,2,Hoarfrost Boots are an uncommon pair of Boots that allow the wearer to not slip on icy surfaces.,,,,,,,,,,
Mystra's Grace,,,Footwear,Uncommon,Non-Armour,0.6kg,70,,,,FALSE,,,,,,,,,Feather Fall,1,Per Turn,,,,,,,,,,1,Mystra's Grace is an uncommon pair of Boots that allow the wearer to cast the Feather Fall spell at will.,,,,,,,,,,
Spiderstep Boots,,,Footwear,Uncommon,Non-Armour,0.6kg,70,,,,FALSE,,,,,,,,,,,,Spider Step,,,,,,,,,1,Spiderstep Boots are an uncommon pair of Boots that allow the wearer to walk across webs freely.,,,,,,,,,,
Tyrannical Jackboots,,,Footwear,Uncommon,Non-Armour,0.6kg,100,,,,FALSE,,,,,,,,,,,,Scintillating,,,,,,,,,3,Tyrannical Jackboots are an uncommon pair of Boots that grant a +1 bonus to Charisma checks and Saving Throws.,,,,,,,,,,
Varsh Ko'kuu's Boots,,,Footwear,Uncommon,Non-Armour,0.6kg,70,,,,FALSE,,,,,,,,,,,,Caretaker's Care,,,,,,,,,2,Varsh Ko'kuu's Boots are an uncommon pair of Boots that grant immunity to Acid surfaces and Resistance to Acid damage.,,,,,,,,,,
Acrobat Shoes,,,Footwear,Rare,Non-Armour,0.6kg,35,,,,FALSE,,,Acrobatics,1,,DEX,,ADV,,,,,,,,,,,,,2,Acrobat Shoes is a pair of rare Boots that grants a bonus to Acrobatics and Advantage on Dexterity Saving Throws.,,,,,,,,,,
Boots of Apparent Death,,,Footwear,Rare,Non-Armour,0.6kg,190,,,,FALSE,,,,,,,,,Feign Death,3,Short Rest,,,,,,,,,,2,Boots of Apparent Death are a rare set of Boots that grants the wearer the ability to cast Feign Death once per Short Rest.,,,,,,,,,,
Boots of Arcane Bolstering,,,Footwear,Rare,Non-Armour,0.6kg,190,,,,FALSE,,,,,,,,,,,,Rapid Caster,,,,,,,,,2,"Boots of Arcane Bolstering is a pair of rare Boots that grants Arcane Charge each time the wearer Dashes, adding +1 bonus to damage with spells while Threatened.",,,,,,,,,,
Boots of Brilliance,,,Footwear,Rare,Non-Armour,0.6kg,190,,,,FALSE,,,,,,,,,Restore Bardic Inspiration,,Long Rest,,,,,,,,,,2,Boots of Brilliance are a rare pair of Boots that allow the wearer to replenish one Bardic Inspiration charge once per long rest.,,,,,,,,,,
Boots of Genial Striding,,,Footwear,Rare,Non-Armour,0.6kg,190,,,,FALSE,,,,,,,,,,,,Genial Strider,,,,,,,,,1,Boots of Genial Striding is a pair of rare Boots that allow the wearer to move over difficult terrain without impediment.,,,,,,,,,,
Boots of Speed,,,Footwear,Rare,Non-Armour,0.6kg,190,,,,FALSE,,,,,,,,,Click Heels,,,,,,,,,,,,1,The Boots of Speed is a pair of rare Boots that allows the wearer to click their heels for a burst of speed that makes it difficult for enemies to land Attacks of Opportunity on them.,,,,,,,,,,
Boots of Uninhibited Kushigo,,,Footwear,Rare,Non-Armour,0.6kg,190,,,,FALSE,,,,,,,,,,,,Experienced And Deadly,,,,,,,,,3,The Boots of Uninhibited Kushigo are a rare pair of Boots that add your Wisdom modifier to your unarmed strikes' damage.,,,,,,,,,,
Evasive Shoes,,,Footwear,Rare,Non-Armour,0.6kg,95,,,1,FALSE,,,Acrobatics,1,,,,,,,,,,,,,,,,,2,The Evasive Shoes are a rare pair of Boots that give a small bonus to Acrobatics and Armour Class.,,,,,,,,,,
Linebreaker Boots,,,Footwear,Rare,Non-Armour,0.6kg,190,,,,FALSE,,,,,,,,,,,,Adrenaline Rush,,,,,,,,,1,The Linebreaker Boots are a rare pair of Boots that grants the wearer Wrath whenever they Dash.,,,,,,,,,,
Slinging Shoes,,,Footwear,Rare,Non-Armour,0.6kg,35,,,,FALSE,,,,,,DEX,1,,,,,Shoe Slinger,,,,,,,,,3,Slinging Shoes is a pair of Boots that deal psychic damage and return to the wearer when thrown.,,,,,,,,,,
Spaceshunt Boots,,,Footwear,Rare,Non-Armour,0.6kg,190,,,,FALSE,,,,,,,,,Dimension Door,4,Long Rest,,,,,,,,,,3,Spaceshunt Boots is a rare pair of Boots that allow the wearer to cast the Dimension Door spell as an Action once per Long Rest.,,,,,,,,,,
Springstep Boots,,,Footwear,Rare,Non-Armour,0.6kg,190,,,,FALSE,,,,,,,,,,,,Swift Strides,,,,,,,,,1,"Springstep Boots is a pair of rare Boots that allows the wearer to gain Momentum whenever they dash in combat, further improving their Movement Speed.",,,,,,,,,,
Swiresy Shoes,,,Footwear,Rare,Non-Armour,0.6kg,35,,,,FALSE,,,Acrobatics,1,,,,,,,,Refined Vaulting (Swiresy Shoes),,,,,,,,,1,The Swiresy Shoes are a pair of rare Boots that improve Jumping distance and Acrobatics skill.,,,,,,,,,,
The Watersparkers,,,Footwear,Rare,Non-Armour,0.6kg,190,,,,FALSE,,,,,,,,,,,,"Electrify Water, Watersparks",,,,,,,,,1,The Watersparkers are a pair of rare Boots that allow the wearer to electrify water surfaces and gain Lightning Charges.,,,,,,,,,,
Bonespike Boots,,,Footwear,Very Rare,Non-Armour,0.6kg,70,,,,FALSE,,,,,,,,,Brutal Leap,,Per Turn,"Evasive Instinct, Refined Vaulting (Bonespike Boots)",,,,,,,,,3,Bonespike Boots are a Very rare pair of Boots that enhances jump distance and gives the character access to the Brutal Leap ability.,,,,,,,,,,
Helldusk Boots,,,Footwear,Very Rare,Non-Armour,0.6kg,450,,,,FALSE,,,,,,,,,Hellcrawler,,Short Rest,"Steadfast, Infernal Evasion",,,,,,,,,3,"The Helldusk Boots are a very rare pair of Boots that allows the wearer to ignore Difficult Terrain, and to use a  Reaction to succeed on a Saving Throw. It also grants the Hellcrawler bonus action.",,,,,,,,,,
Disintegrating Night Walkers,,,Footwear,Story Item,Non-Armour,0.6kg,360,,,,FALSE,,,,,,,,,Misty Step,2,Short Rest,Night Walker,,,,,,,,,1,"The Disintegrating Night Walkers are story-related Boots which grant their wearer immunity to various surface effects, and also allows them to cast Misty Step once per Short Rest.",,,,,,,,,,
Dreamsome Boots,,,Footwear,Common,Medium,2.0kg,30,,,,FALSE,,,Athletics,1,,,,,,,,,,,,,,,,,,Dreamsome Boots are a pair of Boots worn by the guardian who appears in the player character's dreams.,,,,,,,,,,
Githyanki Boots,,,Footwear,Common,Medium,2.0kg,30,,,,FALSE,,,Athletics,1,,,,,,,,,,,,,,,,,,Githyanki Boots are a common pair of Boots.,,,,,,,,,,
Metallic Boots,,,Footwear,Common,Medium,2.0kg,30,,,,FALSE,,,Athletics,1,,,,,,,,,,,,,,,,,,Metallic Boots are a common pair of Boots.,,,,,,,,,,
Oathbreaker Knight Boots,,,Footwear,Common,Medium,2.0kg,30,,,,FALSE,,,Athletics,1,,,,,,,,,,,,,,,,,,Oathbreaker Knight Boots are a common medium-armour footwear that grants the wearer Athletics +1,,,,,,,,,,
Boots of Elemental Momentum,,,Footwear,Uncommon,Medium,2.0kg,90,,,,FALSE,,,Athletics,1,,,,,,,,Elemental Momentum,,,,,,,,,2,The Boots of Elemental Momentum are an uncommon pair of Boots that grant Momentum whenever the wearer deals elemental damage with a spell or cantrip.,,,,,,,,,,
Boots of Striding,,,Footwear,Uncommon,Medium,2.0kg,90,,,,FALSE,,,Athletics,1,,,,,,,,Focused Stride,,,,,,,,,1,The Boots of Striding are an uncommon pair of Boots that grants the wearer a burst of speed whenever they begin concentrating on a spell.,,,,,,,,,,
Blackguard's Greaves,,,Footwear,Rare,Medium,2.0kg,640,,,,FALSE,,,Athletics,1,,,,,,,,Strider Movement,,,,,,,,,3,Blackguard's Greaves are a rare pair of Greaves that grant their wearer a permanent Longstrider effect and a +1 bonus to Athletics.,,,,,,,,,,
Dark Justiciar Boots,,,Footwear,Rare,Medium,2.0kg,240,,,,FALSE,,,,,,DEX,1,,Shadow Teleportation,,Short Rest,,,,,,,,,,,The Dark Justiciar Boots are a rare pair of Boots that grants the wearer better Dexterity Saving Throws and the ability to cast Shadow Teleportation once per Short Rest.,,,,,,,,,,
The Speedy Lightfeet,,,Footwear,Rare,Medium,2.0kg,240,,,,FALSE,,,Athletics,1,,,,,,,,Speedy Sparks,,,,,,,,,1,The Speedy Lightfeet are a pair of rare Boots that allow the wearer to gain Lightning Charges when Dashing in combat.,,,,,,,,,,
Unwanted Masterwork Greaves,,,Footwear,Rare,Medium,2.0kg,240,,,,FALSE,,,Athletics,1,,,,,,,,,,,,,,,,,3,Unwanted Masterwork Greaves are a rare pair of Boots that provide a bonus to Athletics. It is part of the Unwanted set.,,,,,,,,,,
Vital Conduit Boots,,,Footwear,Rare,Medium,2.0kg,240,,,,FALSE,,,Athletics,1,,,,,,,,Vital Conduit,,,,,,,,,2,The Vital Conduit Boots are a pair of rare Boots that grants the wearer temporary Hit Points when they cast a Spell that requires Concentration.,,,,,,,,,,
Boots of Persistence,,,Footwear,Very Rare,Medium,2.0kg,1300,,,,FALSE,,,,,,DEX,1,,,,,Legendary Mobility,,,,,,,,,3,Boots of Persistence is a pair of Boots that grant their wearer permanent Freedom of Movement and Longstrider effects.,,,,,,,,,,
Boots of Psionic Movement,,,Footwear,Very Rare,Medium,2.0kg,450,,,,FALSE,,,,,,DEX,1,,Githborn: Flying Boots,3,Long Rest,Flying Strike,,,,,,,,,3,"Boots of Psionic Movement are a very rare pair of Boots that allow Githyanki wearers to fly, and enhances their attacks with Psychic damage.",,,,,,,,,,
