Creature,,,Type,Race,Class,Subclass,Identity,Size,Movement,Darkvision,Weight,XP,Actions/Spells,Weapons,Grenades,Boss,Imunities,,Vulnerabilities,Family,Faction,Title
Cinna Brewcellar,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Cinnamon,,,Humanoid,Human,,,Female,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Cinta Golewits,,,Humanoid,Human,,,Female,Small,9.0m,,25.0kg,,,,,FALSE,,,,Ben Golewits (father)Marpha Golewits (mother),,
Cirian,,,Humanoid,Human,,,Female,Medium,9.0m,30.0m,75.0kg,250,"Aura of Murder (class action),Flourish,Lacerate,Main Hand Attack,Piercing Strike,Stunning Gaze",Murderous Cut,,FALSE,,,,,,
Civilian,,,Humanoid,Elf,,,Female,Medium,9.0m,12.0m,75.0kg,1,"Unarmed Strike,Dash",,,FALSE,,,,,,
Warrior Clack,,,Humanoid,Goblin,Fighter,,Female,Small,9.0m,12.0m,35.0kg,20,"Cleave,Lacerate,Main Hand Attack,Menacing Attack (Melee),Prepare,Throw Stone",Greataxe,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Cleet,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Brother Clements,,,Humanoid,Dwarf,Cleric,,Male,Medium,7.5m,12.0m,75.0kg,200,"Cure Wounds,Sacred Flame",,,FALSE,,,,,Church of Ilmater,
Gondian Clore Falson,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,320,"Concussive Smash,Lightning Bolt,Main Hand Attack,Misty Step,Shocking Grasp,Thunderwave",Light Hammer,,FALSE,,,,Featherweight Falson (father),Church of Gond,
Reaper of Bhaal Clotilde,,,Humanoid,Human,,,Female,Medium,9.0m,30.0m,75.0kg,250,"Flourish,Lacerate,Main Hand Attack,Piercing Strike,Shroud Self",Murderous Cut,,FALSE,,,,,Cult of Bhaal,
Fist Clover,,,Humanoid,Human,Ranger,,Female,Medium,9.0m,,75.0kg,250,"Brace (Ranged),Ensnaring Strike (Ranged),Piercing Shot,Ranged Attack,Volley",Heavy Crossbow,,FALSE,,,,,Flaming Fist,
Clovia Throaks,,,Humanoid,Human,,,,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,Blarson Throaks (husband)Gasper Throaks (son),,
Night Blade Comina,,,Humanoid,Human,,,,Medium,9.0m,30.0m,75.0kg,400,Main Hand Attack,Dagger,,FALSE,,,,,Cult of Bhaal,
Conall,,,Humanoid,Human,,,,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Cora Highberry,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,1,,,,FALSE,,,,Roger Highberry (husband),,
Cordrane,,,Humanoid,Dwarf,,,,Medium,7.5m,12.0m,75.0kg,250,"Blindness,Bone Chill,Ray of Sickness",,,FALSE,,,,,,
Cordula Eltan,,,Humanoid,Human,Wizard,,Female,Medium,9.0m,,75.0kg,320,"Cone of Cold,Confusion,Fire Bolt,Lightning Bolt,Magic Missile,Main Hand Attack,Otto's Irresistible Dance",Quarterstaff +1,,FALSE,,,,,Flaming Fist,
Corliss,,,Humanoid,Halfling,Ranger,,Female,Small,7.5m,,35.0kg,75,,,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Fist Corlos,,,Humanoid,Dwarf,Fighter,,Female,Medium,7.5m,12.0m,75.0kg,250,"Cleave,Lacerate,Main Hand Attack,Piercing Strike,Rush Attack,Sweeping Attack","Javelin,Halberd",,FALSE,,,,,Flaming Fist,
Cormac,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Brigid (wife),,
Night Blade Corniche,,,Humanoid,Tiefling,,,Female,Medium,9.0m,30.0m,75.0kg,400,Ranged Attack,Heavy Crossbow,,FALSE,,,,,Cult of Bhaal,
Counting House Artillerist,,,Humanoid,Human,,,,Medium,9.0m,9.0m,75.0kg,9,"Main Hand Attack,Ranged Attack","Rapier,Heavy Crossbow",,FALSE,,,,,,
Counting House Enforcer,,,Humanoid,Human,Paladin,,,Medium,9.0m,9.0m,75.0kg,9,"Main Hand Attack,Lay on Hands: Greater Healing,Blinding Smite,Divine Smite",Maul,,FALSE,,,,,,
Courageous Little Kimmabeth,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Crak,,,Humanoid,Half-orc,,,Male,Medium,9.0m,18.0m,100.0kg,1,,,,FALSE,,,,,,
Fist Creekrider,,,Humanoid,Dwarf,Cleric,,Male,Medium,7.5m,12.0m,75.0kg,250,"Aid,Backbreaker,Calm Emotions,Command: Grovel,Concussive Smash,Crusader's Mantle,Main Hand Attack,Mass Cure Wounds,Sacred Flame,Weakening Strike",Warhammer,,FALSE,,,,,Flaming Fist,
Cressida Flint,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Fist Crosse,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,250,"Cleave,Lacerate,Main Hand Attack,Rush Attack,Sweeping Attack",Halberd,,FALSE,,,,,Flaming Fist,
Sharp-Eye Crub,,,Humanoid,Goblin,Ranger,,Male,Small,9.0m,12.0m,35.0kg,20,"Ensnaring Strike (Ranged),Hamstring Shot,Nimble Escape,Ranged Attack,Worg Companion",Goblin Bow,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Devout Cry,,,Humanoid,Goblin,Cleric,,Female,Small,9.0m,12.0m,35.0kg,20,"Bless,Concussive Smash,Cure Wounds,Main Hand Attack,Sacred Flame",Crude Mace,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Booyahg Culk,,,Humanoid,Goblin,,,Male,Small,9.0m,12.0m,35.0kg,20,"Acid Splash,Grease,Main Hand Attack,Ray of Sickness,Sleep,Topple",Ritual Staff,,FALSE,,,,,Cult of the Absolute,
Cutter Violet,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,The Guild,Guild Member
Cyndirie Vand,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Cyrel,,,Humanoid,Human,Wizard,,Female,Medium,9.0m,,75.0kg,40,"Hold Person,Magic Missile,Main Hand Attack,Piercing Strike,Ray of Frost,Ray of Sickness,Shield,Thunderwave",Dagger,,FALSE,,,,,,Trader
Cyrella,,,Humanoid,Human,,,Female,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Fist Cyril,,,Humanoid,Elf,Fighter,,Male,Medium,9.0m,12.0m,75.0kg,90,"Lacerate,Main Hand Attack,Pommel Strike,Rush Attack,Trip Attack (Melee)",Longsword,,FALSE,,,,,Flaming Fist,
Cashguard Artillerist Dadger,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Ranged Attack","Rapier,Heavy Crossbow",,FALSE,,,,,,
Gauntlet Dain,,,Humanoid,Human,Cleric,Light Domain,Female,Medium,9.0m,,75.0kg,90,"Backbreaker,Command: Grovel,Concussive Smash,Cure Wounds,Guiding Bolt,Radiance of the Dawn,Sacred Flame,Weakening Strike, Main Hand Attack",Warhammer,,FALSE,,,,,Flaming Fist,
Acolyte Daine,,,Humanoid,Dwarf,Cleric,,Female,Medium,7.5m,12.0m,75.0kg,110,"Bless,Cure Wounds,Piercing Shot,Ranged Attack,Sacred Flame",Light Crossbow,,FALSE,,,,,Cult of the Absolute,
Dairow Vin,,,Humanoid,Tiefling,,,Male,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,Unnamed husband (deceased)Garrett (brother-in-law),Tiefling refugees,
Dalthar,,,Humanoid,Dwarf,Ranger,,Female,Medium,7.5m,24.0m,75.0kg,75,"Brace (Ranged),Ensnaring Strike (Ranged),Invisibility (Duergar),Main Hand Attack,Piercing Shot,Piercing Strike,Ranged Attack","Dagger,Heavy Crossbow",,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Damays,,,Humanoid,Tiefling,Ranger,,Male,Medium,9.0m,9.0m,75.0kg,15,"Main Hand Attack,Ranged Attack","Shortsword,Shortbow",,FALSE,,,,,Tiefling refugees,
Dame Guisarme,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,250,"Lacerate,Main Hand Attack,Menacing Attack (Melee),Pommel Strike,Rush Attack,Trip Attack (Melee)",Longsword,,FALSE,,,,,,
Dammon,,,Humanoid,Tiefling,,,Male,Medium,9.0m,12.0m,60.0kg,1,,,,FALSE,,,,,Tiefling refugees,
Dandi Thistlepetal,,,Humanoid,Gnome,,,Male,Small,7.5m,12.0m,35.0kg,1,,,,FALSE,,,,,,
Danfora of the Kingfish,,,Humanoid,Drow,,,Female,Medium,9.0m,16.0m,75.0kg,1,,,,FALSE,,,,,,
Danis,,,Humanoid,Tiefling,,,Male,Medium,9.0m,12.0m,75.0kg,1,Unarmed Strike,,,FALSE,,,,Bex (wife),Tiefling refugees,
Danna,,,Humanoid,Dwarf,Wizard,,Female,Medium,7.5m,24.0m,75.0kg,75,"Burning Hands,Cleave,Grease,Invisibility (Duergar),Lacerate,Mage Armour,Magic Missile,Main Hand Attack,Rush Attack,Thunderwave",Halberd,,FALSE,,,,,Clan Flameshade,
Dannbo Indigo,,,Humanoid,Human,,,Male,Medium,9.0m,,25.0kg,,,,,FALSE,,,,Sammia Indigo (mother)Billigan Indigo (father),,
Danton,,,Humanoid,Tiefling,Druid,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Danzo Arkwright,,,Humanoid,Dwarf,,,,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,Postmaster
Fist Healer Darbonna,,,Humanoid,Human,Cleric,,Female,Medium,9.0m,,75.0kg,250,"Aid,Backbreaker,Calm Emotions,Command: Grovel,Concussive Smash,Crusader's Mantle,Main Hand Attack,Mass Cure Wounds,Sacred Flame,Weakening Strike",Warhammer,,FALSE,,,,,Flaming Fist,
Dark Breaker,,,Humanoid,Human,,,,Medium,10.0m,10.0m,75.0kg,10,"Chromatic Orb: Cold,Conjure Elemental: Water Elemental,Disarming Strike,Ice Knife,Main Hand Attack,Piercing Strike,Rush Attack,Thunderwave",Trident,,FALSE,,,,,Church of Umberlee,
Cook Darlie,,,Humanoid,Half-elf,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Darra,,,Humanoid,Goblin,,,Female,Small,9.0m,12.0m,35.0kg,110,"Flourish,Lacerate,Main Hand Attack,Throw Stone",Goblin Scimitar,,FALSE,,,,,Cult of the Absolute,
Harper Darragh,,,Humanoid,Dwarf,Fighter,,Male,Medium,7.5m,12.0m,75.0kg,90,"Concussive Smash,Main Hand Attack",Club,,FALSE,,,,,Harpers,
Dart Dirtwood,,,Humanoid,Dwarf,Ranger,,Male,Medium,7.5m,12.0m,75.0kg,250,Ranged Attack,Heavy Crossbow,,FALSE,,,,,,
Darvis,,,Humanoid,Dwarf,,,Male,Medium,7.5m,9.0m,75.0kg,1,,,,FALSE,,,,,,
Dashkent Moliver,,,Humanoid,Halfling,,,Male,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,Flophouse Custodian
Dave Hosmo,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Dead Drow,,,Humanoid,Drow,,,Male,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Dead Tiefling,,,Humanoid,Tiefling,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,Tiefling refugees,
Dead Whitburn Servant,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,10,,,,FALSE,,,,,The Watch,
Fist Debin,,,Humanoid,Dwarf,Ranger,,Female,Medium,7.5m,12.0m,75.0kg,200,"Ensnaring Strike (Ranged),Volley",,,FALSE,,,,,Flaming Fist,
Deedle Ofran,,,Humanoid,Gnome,,,Female,Small,7.5m,12.0m,35.0kg,1,Dash,,,FALSE,,,,Bala Ofran (sister)Genshu Ofran (brother),Church of Gond,
Saer Deelia,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Reaper of Bhaal Deera,,,Humanoid,Human,,,,Medium,9.0m,30.0m,75.0kg,250,"Main Hand Attack,Shroud Self",Murderous Cut,,FALSE,,,,,Cult of Bhaal,
Deeziks Tormo,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,8,,,,FALSE,,,,,,
Delcan,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Night Blade Dellinjah Dax,,,Humanoid,Human,,,,Medium,9.0m,30.0m,75.0kg,320,"Brace (Ranged),Hamstring Shot,Ranged Attack,Main Hand Attack,Piercing Strike","Longbow,Dagger",,FALSE,,,,,Cult of Bhaal,
Dellys,,,Humanoid,Human,,,Male,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Delverdenn,,,Humanoid,Dwarf,Warlock,,Male,Medium,9.0m,12.0m,75.0kg,250,"Backbreaker,Blight,Concussive Smash,Eldritch Blast,Main Hand Attack,Misty Step,Weakening Strike",Warhammer,,FALSE,,,,,Society of Brilliance,Society of Brilliance
Lord Delwaer Jeth,,,Humanoid,Elf,,,Male,Medium,9.0m,12.0m,75.0kg,1,"Main Hand Attack,Piercing Strike,Weakening Strike",Rapier,,FALSE,,,,,,
Delyarna,,,Humanoid,Elf,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Demir,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,"Lacerate,Main Hand Attack",Cleaver,,FALSE,,,,Johl (brother)  Mayrina (sister),,
Derryth Bonecloak,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,65.0kg,40,,,,FALSE,,,,Baelen Bonecloak (husband),,Trader
Death's Head of Bhaal Derysia,,,Humanoid,Human,,,Female,Medium,9.0m,30.0m,75.0kg,400,"Flourish,Lacerate,Main Hand Attack,Piercing Strike,Stunning Gaze",Murderous Cut,,FALSE,,,,,Cult of Bhaal,
Gauntlet Devella Fountainhead,,,Humanoid,Gnome,Paladin,Oath of Devotion,Female,Small,7.5m,12.0m,35.0kg,250,"Divine Smite,Main Hand Attack,Sacred Weapon,Silence",Longsword,,FALSE,,,,,Flaming Fist,Constable of the Flaming Fist
Devoured Eternal Debtor,,,Humanoid,Elf,,,Male,Medium,9.0m,12.0m,75.0kg,1,Forever Indebted,,,FALSE,,,,,House of Hope,
Sapper Dextor,,,Humanoid,Goblin,,,Male,Small,9.0m,12.0m,35.0kg,15,"Dash,Detonate",,,FALSE,,,,,Cult of the Absolute,
Dez Kanshaw,,,Humanoid,Gnome,,,Male,Small,7.5m,12.0m,35.0kg,1,,,,FALSE,,,,,,
Dharin Brislen,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Leepak Brislen (wife)Bunny (daughter)Blossom (daughter),,
Dholber Greene,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Dwindling (son)Wife (deceased),,
Reaper of Bhaal Dhoria,,,Humanoid,Human,,,Male,Medium,9.0m,30.0m,75.0kg,400,"Flourish,Lacerate,Main Hand Attack,Piercing Strike,Shroud Self",Murderous Cut,,FALSE,,,,,Cult of Bhaal,
Dhourn,,,Humanoid,Drow,Wizard,,Male,Medium,9.0m,16.0m,75.0kg,40,"Darkness,Mage Armour,Main Hand Attack,Misty Step,Piercing Strike,Scorching Ray,Sleep,Thunderwave",Dagger,,FALSE,,,,,,Initiate of the Living Library
Fist Diallo,,,Humanoid,Human,Fighter,,Female,Medium,9.0m,,75.0kg,200,"Main Hand Attack,Piercing Strike,Rush Attack,Trip Attack (Melee)","Spear,Javelin",,FALSE,,,,,Flaming Fist,
Dickon,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Dilgar Sneese,,,Humanoid,Gnome,,,Female,Small,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,Church of Umberlee,
Dillard Portyr,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Liara Portyr (niece),,
Dim Phimberg,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Dimples Backster,,,Humanoid,Gnome,Bard,,Male,Small,7.5m,12.0m,35.0kg,200,"Blindness,Dissonant Whispers,Main Hand Attack,Piercing Strike,Vicious Mockery",Dagger,,FALSE,,,,,The Guild,
Untaken Diomira Trellis,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,250,"Create Water,Ice Knife,Lacerate,Main Hand Attack",Sickle,,FALSE,,,,,Church of Umberlee,
Gauntlet Dion,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,40,Main Hand Attack,Shortsword,,FALSE,,,,,Flaming Fist,
Fist Discoria,,,Humanoid,Human,Fighter,,Female,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Rush Attack,Trip Attack (Melee)",Spear,,FALSE,,,,,Flaming Fist,
Distressed Patient,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Dizby,,,Humanoid,Elf,,,Male,Medium,10.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,Quartermaster
Trader Djingo,,,Humanoid,Dwarf,,,Male,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Night Blade Dogaletto,,,Humanoid,Human,,,Male,Medium,7.5m,30.0m,75.0kg,320,"Brace (Ranged),Piercing Shot,Ranged Attack",Heavy Crossbow,,FALSE,,,,,Cult of Bhaal,
Sharran Novice Dohna,,,Humanoid,Elf,Fighter,,Female,Medium,9.0m,24.0m,75.0kg,320,Main Hand Attack,Mace,,FALSE,,,,,Church of Shar,
Saer Dokksill,,,Humanoid,Half-elf,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Dolia,,,Humanoid,Human,,,Female,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Sharran Novice Dollay,,,Humanoid,Elf,Fighter,,Female,Medium,9.0m,24.0m,75.0kg,320,"Concussive Smash,Main Hand Attack",Mace,,FALSE,,,,,Church of Shar,
Dollivar Noot,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Dolor,,,Humanoid,Dwarf,Rogue,Assassin,Male,Medium,7.5m,12.0m,75.0kg,320,"Sneak Attack (Melee),Throw",,Karabasan's Gift,FALSE,,,,Ffion Goldgrind (Mother),Cult of Bhaal,
Dominica Arsetz,,,Humanoid,Human,Ranger,,Female,Medium,9.0m,,75.0kg,200,"Brace (Ranged),Cure Wounds,Hamstring Shot,Hunter's Mark,Ranged Attack",Longbow +1,,FALSE,,,,,The Gur,
Don't-Call-Me-Runt,,,Humanoid,Halfling,Ranger,,Male,Small,7.5m,,35.0kg,250,"Ensnaring Strike (Ranged),Main Hand Attack,Ranged Attack,Sneak Attack (Ranged)","Longbow,Dagger",,FALSE,,,,,The Guild,
Doni,,,Humanoid,Tiefling,,,Male,Small,9.0m,12.0m,25.0kg,1,,,,FALSE,,,,Rikka (guardian),Tiefling refugees,
Donna Blague,,,Humanoid,Gnome,,,Female,Small,7.5m,12.0m,35.0kg,1,,,,FALSE,,,,,,
Harper Donner,,,Humanoid,Tiefling,Wizard,,Male,Medium,9.0m,12.0m,75.0kg,90,"Burning Hands,Fire Bolt,Main Hand Attack,Melf's Acid Arrow,Piercing Strike,Scorching Ray",Dagger,,FALSE,,,,,Harpers,
Brother Donnick,,,Humanoid,Half-elf,,,Male,Medium,9.0m,12.0m,,200,,,,FALSE,,,,,Church of Ilmater,
Doober,,,Humanoid,Human,,,Male,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Doora Thumbfoot,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,1,,,,FALSE,,,,Maryk Thumbfoot (husband),,
Warrior Dor'il,,,Humanoid,Githyanki,,,,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Disarming Attack (Melee),Second Wind",Githyanki Greatsword,,FALSE,,,,,Crèche Y'llek,
Adept Dorikel,,,Humanoid,Drow,Cleric,,Male,Medium,9.0m,16.0m,75.0kg,140,"Command: Flee,Death Ward,Guardian of Faith,Guiding Bolt,Hunger of Hadar,Main Hand Attack,Sacred Flame,Topple",Quarterstaff,,FALSE,,,,,Cult of the Absolute,
Saer Drana Hoyte,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Drar,,,Humanoid,Dwarf,Ranger,,Female,Medium,7.5m,24.0m,75.0kg,75,"Brace (Ranged),Ensnaring Strike (Ranged),Piercing Shot,Ranged Attack",Heavy Crossbow,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Drarra,,,Humanoid,Elf,,,Male,Medium,10.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Dravo Flymm,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Enver Gortash (son)Sally Flymm (wife),,
Drenn,,,Humanoid,Goblin,,,Female,Small,9.0m,12.0m,35.0kg,110,"Hamstring Shot,Nimble Escape,Ranged Attack",Goblin Bow,,FALSE,,,,,Cult of the Absolute,
Fist Dresten,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,200,"Cleave,Lacerate,Main Hand Attack,Rush Attack,Sweeping Attack",Halberd,,FALSE,,,,,Flaming Fist,
Adventurer Drim,,,Humanoid,Human,,,Male,Medium,9.0m,,70.0kg,200,"Brace (Ranged),Hamstring Shot,Ranged Attack",Longbow +1,,FALSE,,,,,,
Oyster Boy Dringo,,,Humanoid,Gnome,,,,Small,9.0m,12.0m,35.0kg,1,,,,FALSE,,,,,,
Drongo Bixworth,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Gondian Droo Falbo,,,Humanoid,Gnome,,,Male,Small,7.5m,12.0m,35.0kg,250,"Lightning Bolt,Misty Step,Shocking Grasp,Thunderwave",,,FALSE,,,,,Church of Gond,
Droona Shveitz,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,Agnes Shveitz (presumed wife),,
Druggag,,,Humanoid,Half-orc,,,Male,Medium,9.0m,18.0m,100.0kg,1,,,,FALSE,,,,,,
Warrior Druk,,,Humanoid,Goblin,Fighter,,Male,Small,9.0m,12.0m,35.0kg,20,"Flourish,Lacerate,Main Hand Attack,Menacing Attack (Melee),Throw Stone",Goblin Scimitar,,FALSE,,,,,Cult of the Absolute,
Drussuvissill,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Drybeldiyx,,,Humanoid,Dragonborn,,,Male,Medium,9.0m,,100.0kg,1,,,,FALSE,,,,,,
Dryfle Doon,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Dubos Clodds,,,Humanoid,Gnome,,,Male,Small,7.5m,12.0m,35.0kg,8,,,,FALSE,,,,,,
Duckie Verish,,,Humanoid,Human,Wizard,Evocation School,Female,Medium,9.0m,,75.0kg,140,"Bone Chill,Concussive Smash,Fireball,Incubate Death,Main Hand Attack,Misty Step,Tenacity,Weakening Strike,Shield",Myrkulite Scourge,,FALSE,,,,,Cult of Myrkul,Mistress of Souls
Fist Duddamoor,,,Humanoid,Human,Fighter,,,Medium,9.0m,,75.0kg,250,"Cleave,Lacerate,Main Hand Attack,Rush Attack,Sweeping Attack,Throw","Javelin,Halberd",,FALSE,,,,,Flaming Fist,
Duddy Dudderken,,,Humanoid,Human,,,Male,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Cashguard Dugg,,,Humanoid,Human,Paladin,,Male,Medium,9.0m,,75.0kg,250,"Backbreaker,Blinding Smite,Concussive Smash,Divine Smite,Lay on Hands: Greater Healing,Main Hand Attack,Mobile Shot,Piercing Shot,Ranged Attack,Tenacity","Hand Crossbow,Maul",,FALSE,,,,,The Counting House,
Dulbers Frint,,,Humanoid,Gnome,Wizard,,Male,Small,7.5m,24.0m,35.0kg,200,"Acid Splash,Fog Cloud,Lightning Bolt,Mage Armour,Main Hand Attack,Topple",Quarterstaff,,FALSE,,,,,Clan Ironhand,
Tracker Dullwill,,,Humanoid,Goblin,,,Male,Small,9.0m,12.0m,35.0kg,20,"Hamstring Shot,Ranged Attack",Goblin Bow,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Mind Master Dunnol,,,Humanoid,Dwarf,Wizard,,Male,Medium,7.5m,24.0m,75.0kg,75,"Concussive Smash,Invisibility (Duergar),Main Hand Attack,Mind Mastery,Mind Spike,Reduce (Duergar)",Whipping Cane,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Fist Healer Duranga,,,Humanoid,Dwarf,Cleric,,,Medium,7.5m,12.0m,75.0kg,10,"Aid,Backbreaker,Calm Emotions,Command: Grovel,Concussive Smash,Crusader's Mantle,Main Hand Attack,Mass Cure Wounds,Sacred Flame,Weakening Strike",Warhammer,,FALSE,,,,,Flaming Fist,
Dwindling,,,Humanoid,Human,,,Male,Small,9.0m,,25.0kg,1,,,,FALSE,,,,Dholber Greene (father),,
Dying Stone Lord Thug,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,200,,,,FALSE,,,,,,
Dyrovell,,,Humanoid,Human,,,,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Youth Dyrr'kas,,,Humanoid,Githyanki,,,Male,Medium,9.0m,,75.0kg,75,"Lacerate,Main Hand Attack,Pommel Strike,Rush Attack",Longsword,,FALSE,,,,,Crèche Y'llek,
Earno Diggums,,,Humanoid,Dwarf,,,Male,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Earspoon,,,Humanoid,Dwarf,Rogue,,Female,Medium,7.5m,12.0m,75.0kg,200,"Main Hand Attack,Sneak Attack (Melee)",Dagger,,FALSE,,,,,Rivington Rats,
Fist Earthdigger,,,Humanoid,Human,Wizard,,Male,Medium,9.0m,,75.0kg,250,"Blight,Conjure Elemental: Fire Elemental,Counterspell,Fire Bolt,Main Hand Attack,Melf's Acid Arrow,See Invisibility,Topple",Quarterstaff,,FALSE,,,,,Flaming Fist,
Watchman Ebber,,,Humanoid,Elf,Fighter,,Male,Medium,9.0m,,75.0kg,400,"Main Hand Attack,Cleave,Pommel Strike,Rush Attack",Greatsword,,FALSE,,,,,The Watch,
Manip Edenosa,,,Humanoid,Gnome,Cleric,War Domain,Female,Small,7.5m,12.0m,35.0kg,250,"Aid,Backbreaker,Calm Emotions,Command: Grovel,Concussive Smash,Crusader's Mantle,Main Hand Attack,Mass Cure Wounds,Sacred Flame,Weakening Strike",Warhammer,,FALSE,,,,,Flaming Fist,
Edmundis Magarus,,,Humanoid,Halfling,,,Male,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,Circus of the Last Days,
Edowin,,,Humanoid,Dwarf,Cleric,,Male,Medium,7.5m,,75.0kg,20,,,,FALSE,,,,Brynna (sister)Andrick (brother),Cult of the Absolute,True Soul of the Absolute
Cashguard Basher Edvidge,,,Humanoid,Human,Paladin,,Male,Medium,9.0m,,75.0kg,250,"Backbreaker,Blinding Smite,Concussive Smash,Divine Smite,Lay on Hands: Greater Healing,Main Hand Attack,Mobile Shot,Piercing Shot,Ranged Attack,Tenacity","Hand Crossbow,Maul",,FALSE,,,,,The Counting House,
